"gsm_accession","characteristic_key","characteristic_value","original_text"
"GSM3495154","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495154","treatment","1.1 kPa for three day cultivation","treatment: 1.1 kPa for three day cultivation"
"GSM3495155","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495155","treatment","2.5 kPa for three day cultivation","treatment: 2.5 kPa for three day cultivation"
"GSM3495156","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495156","treatment","4.2 kPa for three day cultivation","treatment: 4.2 kPa for three day cultivation"
"GSM3495157","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495157","treatment","11.9 kPa for three day cultivation","treatment: 11.9 kPa for three day cultivation"
"GSM3495158","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495158","treatment","34.3 kPa for three day cultivation","treatment: 34.3 kPa for three day cultivation"
"GSM3495159","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495159","treatment","50 kPa for three day cultivation","treatment: 50 kPa for three day cultivation"
"GSM3495160","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495160","treatment","50 kPa for five day cultivation","treatment: 50 kPa for five day cultivation"
"GSM3495161","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495161","treatment","1.1 kPa for five day cultivation","treatment: 1.1 kPa for five day cultivation"
"GSM3495162","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495162","treatment","2.5 kPa for five day cultivation","treatment: 2.5 kPa for five day cultivation"
"GSM3495163","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495163","treatment","11.9 kPa for five day cultivation","treatment: 11.9 kPa for five day cultivation"
"GSM3495164","tissue/cell type","Human trabecular meshwork (HTM)cells","tissue/cell type: Human trabecular meshwork (HTM)cells"
"GSM3495164","treatment","34.4 kPa for five day cultivation","treatment: 34.4 kPa for five day cultivation"
"GSM3495165","subject source","primary open-angle glaucoma","subject source: primary open-angle glaucoma"
"GSM3495165","tissue/cell type","Human trabecular meshwork (HTM) tissue","tissue/cell type: Human trabecular meshwork (HTM) tissue"
"GSM3495166","subject source","acute angle-closure glaucoma","subject source: acute angle-closure glaucoma"
"GSM3495166","tissue/cell type","Human trabecular meshwork (HTM) tissue","tissue/cell type: Human trabecular meshwork (HTM) tissue"
"GSM3495167","subject source","chronic angle-closure glaucoma","subject source: chronic angle-closure glaucoma"
"GSM3495167","tissue/cell type","Human trabecular meshwork (HTM) tissue","tissue/cell type: Human trabecular meshwork (HTM) tissue"
"GSM3495168","subject source","acute angle-closure glaucoma","subject source: acute angle-closure glaucoma"
"GSM3495168","tissue/cell type","Human trabecular meshwork (HTM) tissue","tissue/cell type: Human trabecular meshwork (HTM) tissue"
"GSM3495169","subject source","acute angle-closure glaucoma","subject source: acute angle-closure glaucoma"
"GSM3495169","tissue/cell type","Human trabecular meshwork (HTM) tissue","tissue/cell type: Human trabecular meshwork (HTM) tissue"
"GSM3495170","subject source","acute angle-closure glaucoma","subject source: acute angle-closure glaucoma"
"GSM3495170","tissue/cell type","Human trabecular meshwork (HTM) tissue","tissue/cell type: Human trabecular meshwork (HTM) tissue"
"GSM3495171","subject source","chronic angle-closure glaucoma","subject source: chronic angle-closure glaucoma"
"GSM3495171","tissue/cell type","Human trabecular meshwork (HTM) tissue","tissue/cell type: Human trabecular meshwork (HTM) tissue"
"GSM3495172","subject source","chronic angle-closure glaucoma","subject source: chronic angle-closure glaucoma"
"GSM3495172","tissue/cell type","Human trabecular meshwork (HTM) tissue","tissue/cell type: Human trabecular meshwork (HTM) tissue"
