"gse_accession","gsm_accession","title","source_name","organism","molecule","library_strategy","characteristics","description","treatment_protocol","design_text","cell_model","stiffness_text","proliferation_state","batch_text","biological_unit"
"GSE123100","GSM3495154","A_1.1 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 1.1 kPa for three day cultivation","under substrate stiffness treatment | 1_human-xlw_A_1 | processed data file: cell_expressed_gene_*.txt","","A_1.1 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 1.1 kPa for three day cultivation | under substrate stiffness treatment | 1_human-xlw_A_1 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","1 kpa | 1.1 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
"GSE123100","GSM3495155","A_2.5 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 2.5 kPa for three day cultivation","under substrate stiffness treatment | 1_human-xlw_A_2 | processed data file: cell_expressed_gene_*.txt","","A_2.5 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 2.5 kPa for three day cultivation | under substrate stiffness treatment | 1_human-xlw_A_2 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","5 kpa | 2.5 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
"GSE123100","GSM3495156","A_4.2 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 4.2 kPa for three day cultivation","under substrate stiffness treatment | 1_human-xlw_A_3 | processed data file: cell_expressed_gene_*.txt","","A_4.2 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 4.2 kPa for three day cultivation | under substrate stiffness treatment | 1_human-xlw_A_3 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","2 kpa | 4.2 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
"GSE123100","GSM3495157","A_11.9 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 11.9 kPa for three day cultivation","under substrate stiffness treatment | 1_human-xlw_A_4 | processed data file: cell_expressed_gene_*.txt","","A_11.9 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 11.9 kPa for three day cultivation | under substrate stiffness treatment | 1_human-xlw_A_4 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","9 kpa | 11.9 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
"GSE123100","GSM3495158","A_34.3 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 34.3 kPa for three day cultivation","under substrate stiffness treatment | 1_human-xlw_A_5 | processed data file: cell_expressed_gene_*.txt","","A_34.3 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 34.3 kPa for three day cultivation | under substrate stiffness treatment | 1_human-xlw_A_5 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","3 kpa | 34.3 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
"GSE123100","GSM3495159","A_50 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 50 kPa for three day cultivation","under substrate stiffness treatment | 1_human-xlw_A_6 | processed data file: cell_expressed_gene_*.txt","","A_50 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 50 kPa for three day cultivation | under substrate stiffness treatment | 1_human-xlw_A_6 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","50 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
"GSE123100","GSM3495160","C_50 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 50 kPa for five day cultivation","under substrate stiffness treatment | 1_human-xlw_C_6 | processed data file: cell_expressed_gene_*.txt","","C_50 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 50 kPa for five day cultivation | under substrate stiffness treatment | 1_human-xlw_C_6 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","50 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
"GSE123100","GSM3495161","C_1.1 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 1.1 kPa for five day cultivation","under substrate stiffness treatment | 1_human-xlw_C_1 | processed data file: cell_expressed_gene_*.txt","","C_1.1 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 1.1 kPa for five day cultivation | under substrate stiffness treatment | 1_human-xlw_C_1 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","1 kpa | 1.1 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
"GSE123100","GSM3495162","C_2.5 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 2.5 kPa for five day cultivation","under substrate stiffness treatment | 1_human-xlw_C_2 | processed data file: cell_expressed_gene_*.txt","","C_2.5 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 2.5 kPa for five day cultivation | under substrate stiffness treatment | 1_human-xlw_C_2 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","5 kpa | 2.5 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
"GSE123100","GSM3495163","C_11.9 kPa","Human trabecular meshwork cells","Homo sapiens","","RNA-Seq","tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 11.9 kPa for five day cultivation","under substrate stiffness treatment | 1_human-xlw_C_4 | processed data file: cell_expressed_gene_*.txt","","C_11.9 kPa | Human trabecular meshwork cells | tissue/cell type: Human trabecular meshwork (HTM)cells | treatment: 11.9 kPa for five day cultivation | under substrate stiffness treatment | 1_human-xlw_C_4 | processed data file: cell_expressed_gene_*.txt | ","trabecular-meshwork-like","9 kpa | 11.9 kpa","unresolved","unresolved","HTM_cell_source_unresolved"
