"gse_accession","gsm_accession","title","source_name","organism","molecule","library_strategy","characteristics","description","treatment_protocol","design_text","cell_model","stiffness_text","proliferation_state","batch_text","biological_unit"
"GSE276045","GSM8489997","WT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 1","","WT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 1 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 1 | ","WI-38","unresolved","unresolved","unresolved","REPLICATE 1"
"GSE276045","GSM8489998","WT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 2","","WT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 2 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 2 | ","WI-38","unresolved","unresolved","unresolved","REPLICATE 2"
"GSE276045","GSM8489999","WT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 3","","WT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 3 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 3 | ","WI-38","unresolved","unresolved","unresolved","REPLICATE 3"
"GSE276045","GSM8490000","hTERT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: hTERT","RNA-seq | 4","","hTERT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 1 | WI-38 cell line | cell line: WI-38 cell line | genotype: hTERT | RNA-seq | 4 | ","WI-38","unresolved","unresolved","unresolved","REPLICATE 1"
"GSE276045","GSM8490001","hTERT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: hTERT","RNA-seq | 5","","hTERT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 2 | WI-38 cell line | cell line: WI-38 cell line | genotype: hTERT | RNA-seq | 5 | ","WI-38","unresolved","unresolved","unresolved","REPLICATE 2"
"GSE276045","GSM8490002","hTERT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: hTERT","RNA-seq | 6","","hTERT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 3 | WI-38 cell line | cell line: WI-38 cell line | genotype: hTERT | RNA-seq | 6 | ","WI-38","unresolved","unresolved","unresolved","REPLICATE 3"
"GSE276045","GSM8490003","WT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 7","","WT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 1 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 7 | ","WI-38","0.5kpa","unresolved","unresolved","REPLICATE 1"
"GSE276045","GSM8490004","WT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 8","","WT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 2 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 8 | ","WI-38","0.5kpa","unresolved","unresolved","REPLICATE 2"
"GSE276045","GSM8490005","WT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 9","","WT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 3 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 9 | ","WI-38","0.5kpa","unresolved","unresolved","REPLICATE 3"
"GSE276045","GSM8490006","hTERT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: hTERT","RNA-seq | 10","","hTERT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 1 | WI-38 cell line | cell line: WI-38 cell line | genotype: hTERT | RNA-seq | 10 | ","WI-38","0.5kpa","unresolved","unresolved","REPLICATE 1"
"GSE276045","GSM8490007","hTERT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: hTERT","RNA-seq | 11","","hTERT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 2 | WI-38 cell line | cell line: WI-38 cell line | genotype: hTERT | RNA-seq | 11 | ","WI-38","0.5kpa","unresolved","unresolved","REPLICATE 2"
"GSE276045","GSM8490008","hTERT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: hTERT","RNA-seq | 12","","hTERT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 3 | WI-38 cell line | cell line: WI-38 cell line | genotype: hTERT | RNA-seq | 12 | ","WI-38","0.5kpa","unresolved","unresolved","REPLICATE 3"
"GSE276045","GSM8490009","WT, 2kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 13","","WT, 2kPa, timepoint 1, RNA-Seq 1, replicate 1 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 13 | ","WI-38","2kpa","unresolved","unresolved","REPLICATE 1"
"GSE276045","GSM8490010","WT, 2kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 14","","WT, 2kPa, timepoint 1, RNA-Seq 1, replicate 2 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 14 | ","WI-38","2kpa","unresolved","unresolved","REPLICATE 2"
"GSE276045","GSM8490011","WT, 2kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 15","","WT, 2kPa, timepoint 1, RNA-Seq 1, replicate 3 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 15 | ","WI-38","2kpa","unresolved","unresolved","REPLICATE 3"
"GSE276045","GSM8490012","hTERT, 2kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: hTERT","RNA-seq | 16","","hTERT, 2kPa, timepoint 1, RNA-Seq 1, replicate 1 | WI-38 cell line | cell line: WI-38 cell line | genotype: hTERT | RNA-seq | 16 | ","WI-38","2kpa","unresolved","unresolved","REPLICATE 1"
"GSE276045","GSM8490013","hTERT, 2kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: hTERT","RNA-seq | 17","","hTERT, 2kPa, timepoint 1, RNA-Seq 1, replicate 2 | WI-38 cell line | cell line: WI-38 cell line | genotype: hTERT | RNA-seq | 17 | ","WI-38","2kpa","unresolved","unresolved","REPLICATE 2"
"GSE276045","GSM8490014","hTERT, 2kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: hTERT","RNA-seq | 18","","hTERT, 2kPa, timepoint 1, RNA-Seq 1, replicate 3 | WI-38 cell line | cell line: WI-38 cell line | genotype: hTERT | RNA-seq | 18 | ","WI-38","2kpa","unresolved","unresolved","REPLICATE 3"
"GSE276045","GSM8490015","WT, 16kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 19","","WT, 16kPa, timepoint 1, RNA-Seq 1, replicate 1 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 19 | ","WI-38","16kpa","unresolved","unresolved","REPLICATE 1"
"GSE276045","GSM8490016","WT, 16kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 20","","WT, 16kPa, timepoint 1, RNA-Seq 1, replicate 2 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 20 | ","WI-38","16kpa","unresolved","unresolved","REPLICATE 2"
"GSE276045","GSM8490017","WT, 16kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","Homo sapiens","","RNA-Seq","cell line: WI-38 cell line | genotype: Wild-type","RNA-seq | 21","","WT, 16kPa, timepoint 1, RNA-Seq 1, replicate 3 | WI-38 cell line | cell line: WI-38 cell line | genotype: Wild-type | RNA-seq | 21 | ","WI-38","16kpa","unresolved","unresolved","REPLICATE 3"
