"field","value"
"contact_address","1170 Veterans Blvd"
"contact_city","South San Francisco"
"contact_country","USA"
"contact_email","graham@calicolabs.com"
"contact_institute","Calico Life Sciences"
"contact_name","J,Graham,Ruby"
"contact_state","California"
"contact_zip/postal_code","94080"
"contributor","Alyssa,M,Kaiser | J,G,Ruby"
"email","geo@ncbi.nlm.nih.gov"
"geo_accession","GSE276045"
"institute","NCBI NLM NIH"
"last_update_date","Sep 24 2024"
"name","Gene Expression Omnibus (GEO)"
"overall_design","Human fetal lung cells in culture were analyzed by RNA-seq"
"platform_id","GPL24676"
"platform_taxid","9606"
"relation","BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1154569"
"sample_id","GSM8489997 | GSM8489998 | GSM8489999 | GSM8490000 | GSM8490001 | GSM8490002 | GSM8490003 | GSM8490004 | GSM8490005 | GSM8490006 | GSM8490007 | GSM8490008 | GSM8490009 | GSM8490010 | GSM8490011 | GSM8490012 | GSM8490013 | GSM8490014 | GSM8490015 | GSM8490016 | GSM8490017 | GSM8490018 | GSM8490019 | GSM8490020 | GSM8490021 | GSM8490022 | GSM8490023 | GSM8490024 | GSM8490025 | GSM8490026 | GSM8490027 | GSM8490028 | GSM8490029 | GSM8490030 | GSM8490031 | GSM8490032 | GSM8490033 | GSM8490034 | GSM8490035 | GSM8490036 | GSM8490037 | GSM8490038 | GSM8490039 | GSM8490040 | GSM8490041 | GSM8490042 | GSM8490043 | GSM8490044 | GSM8490045 | GSM8490046 | GSM8490047 | GSM8490048 | GSM8490049 | GSM8490050 | GSM8490051 | GSM8490052 | GSM8490053 | GSM8490054 | GSM8490055 | GSM8490056 | GSM8490057 | GSM8490058 | GSM8490059 | GSM8490060 | GSM8490061 | GSM8490062 | GSM8490063 | GSM8490064 | GSM8490065 | GSM8490066 | GSM8490067 | GSM8490068 | GSM8490069 | GSM8490070 | GSM8490071 | GSM8490072 | GSM8490073 | GSM8490074 | GSM8490075 | GSM8490076 | GSM8490077 | GSM8490078 | GSM8490079 | GSM8490080 | GSM8490081 | GSM8490082 | GSM8490083 | GSM8490084 | GSM8490085 | GSM8490086 | GSM8490087 | GSM8490088 | GSM8490089 | GSM8490090 | GSM8490091 | GSM8490092 | GSM8490093 | GSM8490094 | GSM8490095 | GSM8490096 | GSM8490097 | GSM8490098 | GSM8490099 | GSM8490100 | GSM8490101 | GSM8490102 | GSM8490103 | GSM8490104 | GSM8490105 | GSM8490106 | GSM8490107 | GSM8490108 | GSM8490109 | GSM8490110 | GSM8490111 | GSM8490112 | GSM8490113 | GSM8490114 | GSM8490115 | GSM8490116 | GSM8490117 | GSM8490118 | GSM8490119 | GSM8490120 | GSM8490121 | GSM8490122 | GSM8490123 | GSM8490124 | GSM8490125 | GSM8490126 | GSM8490127 | GSM8490128 | GSM8490129 | GSM8490130 | GSM8490131 | GSM8490132 | GSM8490133 | GSM8490134 | GSM8490135 | GSM8490136 | GSM8490137 | GSM8490138 | GSM8490139 | GSM8490140 | GSM8490141 | GSM8490142 | GSM8490143 | GSM8490144 | GSM8490145 | GSM8490146 | GSM8490147 | GSM8490148 | GSM8490149 | GSM8490150 | GSM8490151 | GSM8490152 | GSM8490153 | GSM8490154 | GSM8490155 | GSM8490156 | GSM8490157 | GSM8490158 | GSM8490159 | GSM8490160 | GSM8490161 | GSM8490162 | GSM8490163 | GSM8490164 | GSM8490165 | GSM8490166 | GSM8490167 | GSM8490168 | GSM8490169 | GSM8490170 | GSM8490171 | GSM8490172 | GSM8490173 | GSM8490174"
"sample_taxid","9606"
"status","Public on Sep 24 2024"
"submission_date","Aug 30 2024"
"summary","Finite replicative potential is a defining feature of non-transformed somatic cells, first established by Leonard Hayflick in vitro using WI-38 human lung fibroblasts. Once proliferative capacity is exhausted due to telomere shortening, cells enter into a state called replicative senescence, which can be avoided through ectopic expression of telomerase reverse transcriptase (hTERT). As WI-38 cells approach replicative arrest, molecular pathways linked to mechanotransduction are induced, including YAP signaling, but the potential interplay between replicative lifespan and the mechanical environment of the cell remains unexplored. Here, we investigate the influence of mechanosensation on the trajectory towards replicative arrest taken by WI-38 cells by growing cells on substrates of varying stiffnesses. Matrix softening slowed proliferation, altered cellular phenotypes, and shortened proliferative lifespan while hTERT expression abrogated or reduced these responses. Our analyses of bulk and single-cell RNA-sequencing and ATAC-sequencing revealed the emergence of a unique G1 transcriptional state on soft substrates, characterized by an AP-1 transcription factor program, which failed to manifest with hTERT expression. Together, these findings reveal how the mechanical environment alters WI-38 cell proliferative lifespan and dictates unique paths towards growth arrest."
"supplementary_file","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276045/suppl/GSE276045_bulk_RNA_seq_1_counts.txt.gz"
"title","Substrate stiffness dictates unique paths towards proliferative arrest in WI-38 cells [RNA-Seq 1]"
"type","Expression profiling by high throughput sequencing"
"web_link","http://www.ncbi.nlm.nih.gov/geo"
