"source","contrast","module","role","genes_present","genes_total","direction","nominal_p","multiple_test_value","interpretation_boundary"
"GSE123100","dose_response","mechanosensor_channels","primary",20,20,"positive",0.0529323795786497,0.317455568869366,"descriptive HTM dose-response form; not fascia replication"
"GSE123100","dose_response","integrin_focal_adhesion","primary",22,23,"positive",0.487732873868723,0.941653322425014,"descriptive HTM dose-response form; not fascia replication"
"GSE123100","dose_response","hippo_yap_taz","primary",19,19,"positive",0.741423350469493,0.941653322425014,"descriptive HTM dose-response form; not fascia replication"
"GSE123100","dose_response","actomyosin_rho","primary",19,20,"negative",0.941653322425014,0.941653322425014,"descriptive HTM dose-response form; not fascia replication"
"GSE123100","dose_response","ecm_remodeling","competitor",21,23,"positive",0.564641463794436,0.941653322425014,"descriptive HTM dose-response form; not fascia replication"
"GSE123100","dose_response","tgf_fibrosis","competitor",19,20,"positive",0.87585259620538,0.941653322425014,"descriptive HTM dose-response form; not fascia replication"
"GSE123100","dose_response","inflammation_ap1_nfkb","competitor",20,21,"negative",0.0705456819709701,0.317455568869366,"descriptive HTM dose-response form; not fascia replication"
"GSE123100","dose_response","hypoxia","competitor",18,18,"positive",0.910708777365697,0.941653322425014,"descriptive HTM dose-response form; not fascia replication"
"GSE123100","dose_response","cell_cycle","competitor",18,18,"negative",0.491369045843979,0.941653322425014,"descriptive HTM dose-response form; not fascia replication"
"GSE276045","stiffness_slope_WT","cell_cycle","competitor",18,18,"Up",5.48073165269698e-09,4.93265848742728e-08,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_WT","actomyosin_rho","primary",20,20,"Up",0.000220545569186716,0.000992455061340222,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_WT","ecm_remodeling","competitor",23,23,"Up",0.0409697769204419,0.116629818691701,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_WT","hippo_yap_taz","primary",19,19,"Up",0.0641297342118264,0.116629818691701,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_WT","tgf_fibrosis","competitor",20,20,"Up",0.0733308408454737,0.116629818691701,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_WT","hypoxia","competitor",16,18,"Down",0.0777532124611338,0.116629818691701,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_WT","mechanosensor_channels","primary",17,20,"Down",0.523039920624652,0.672479897945981,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_WT","inflammation_ap1_nfkb","competitor",19,21,"Up",0.725028255963356,0.815656787958776,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_WT","integrin_focal_adhesion","primary",23,23,"Up",0.98151584470117,0.98151584470117,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_hTERT","cell_cycle","competitor",18,18,"Up",5.54624583075988e-05,0.000499162124768389,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_hTERT","actomyosin_rho","primary",20,20,"Up",0.000167849616781802,0.000689184725650219,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_hTERT","ecm_remodeling","competitor",23,23,"Up",0.000229728241883406,0.000689184725650219,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_hTERT","tgf_fibrosis","competitor",20,20,"Up",0.00224623173713284,0.00505402140854889,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_hTERT","hypoxia","competitor",16,18,"Down",0.0126810356739688,0.0228258642131439,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_hTERT","hippo_yap_taz","primary",19,19,"Up",0.095475092378191,0.143212638567287,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_hTERT","inflammation_ap1_nfkb","competitor",19,21,"Up",0.352718179046533,0.453494801631257,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_hTERT","integrin_focal_adhesion","primary",23,23,"Up",0.62511383330761,0.671052342184803,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_slope_hTERT","mechanosensor_channels","primary",17,20,"Up",0.671052342184803,0.671052342184803,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_x_cell_model","cell_cycle","competitor",18,18,"Down",0.000121401792200173,0.00109261612980156,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_x_cell_model","ecm_remodeling","competitor",23,23,"Up",0.0103873805955675,0.0467432126800536,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_x_cell_model","tgf_fibrosis","competitor",20,20,"Up",0.0405134023567051,0.121540207070115,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_x_cell_model","mechanosensor_channels","primary",17,20,"Up",0.117429146822086,0.264215580349692,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_x_cell_model","inflammation_ap1_nfkb","competitor",19,21,"Up",0.261088922394399,0.469960060309918,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_x_cell_model","hypoxia","competitor",16,18,"Down",0.316868732631234,0.475303098946851,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_x_cell_model","integrin_focal_adhesion","primary",23,23,"Up",0.583892798348689,0.700984559723824,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_x_cell_model","hippo_yap_taz","primary",19,19,"Down",0.623097386421177,0.700984559723824,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
"GSE276045","stiffness_x_cell_model","actomyosin_rho","primary",20,20,"Down",0.803133870876291,0.803133870876291,"WI-38 cross-tissue stiffness cross-check; proliferation-independent effect not estimable"
