"matrix_column","matrix_key","gsm_accession","match_status"
"WT_2.3GPa_1_1","WT__2.3__gpa__1__1","GSM8489997","matched_by_design_key"
"WT_2.3GPa_1_2","WT__2.3__gpa__1__2","GSM8489998","matched_by_design_key"
"WT_2.3GPa_1_3","WT__2.3__gpa__1__3","GSM8489999","matched_by_design_key"
"hTERT_2.3GPa_1_1","HTERT__2.3__gpa__1__1","GSM8490000","matched_by_design_key"
"hTERT_2.3GPa_1_2","HTERT__2.3__gpa__1__2","GSM8490001","matched_by_design_key"
"hTERT_2.3GPa_1_3","HTERT__2.3__gpa__1__3","GSM8490002","matched_by_design_key"
"WT_0.5kPa_1_1","WT__0.5__kpa__1__1","GSM8490003","matched_by_design_key"
"WT_0.5kPa_1_2","WT__0.5__kpa__1__2","GSM8490004","matched_by_design_key"
"WT_0.5kPa_1_3","WT__0.5__kpa__1__3","GSM8490005","matched_by_design_key"
"hTERT_0.5kPa_1_1","HTERT__0.5__kpa__1__1","GSM8490006","matched_by_design_key"
"hTERT_0.5kPa_1_2","HTERT__0.5__kpa__1__2","GSM8490007","matched_by_design_key"
"hTERT_0.5kPa_1_3","HTERT__0.5__kpa__1__3","GSM8490008","matched_by_design_key"
"WT_2kPa_1_1","WT__2__kpa__1__1","GSM8490009","matched_by_design_key"
"WT_2kPa_1_2","WT__2__kpa__1__2","GSM8490010","matched_by_design_key"
"WT_2kPa_1_3","WT__2__kpa__1__3","GSM8490011","matched_by_design_key"
"hTERT_2kPa_1_1","HTERT__2__kpa__1__1","GSM8490012","matched_by_design_key"
"hTERT_2kPa_1_2","HTERT__2__kpa__1__2","GSM8490013","matched_by_design_key"
"hTERT_2kPa_1_3","HTERT__2__kpa__1__3","GSM8490014","matched_by_design_key"
"WT_16kPa_1_1","WT__16__kpa__1__1","GSM8490015","matched_by_design_key"
"WT_16kPa_1_2","WT__16__kpa__1__2","GSM8490016","matched_by_design_key"
"WT_16kPa_1_3","WT__16__kpa__1__3","GSM8490017","matched_by_design_key"
"hTERT_16kPa_1_1","HTERT__16__kpa__1__1","GSM8490018","matched_by_design_key"
"hTERT_16kPa_1_2","HTERT__16__kpa__1__2","GSM8490019","matched_by_design_key"
"hTERT_16kPa_1_3","HTERT__16__kpa__1__3","GSM8490020","matched_by_design_key"
