"matrix_column","matrix_key","gsm_accession","match_status"
"""WT_2.3GPa_1_1""","","","unresolved"
"""WT_2.3GPa_1_2""","","","unresolved"
"""WT_2.3GPa_1_3""","","","unresolved"
"""hTERT_2.3GPa_1_1""","","","unresolved"
"""hTERT_2.3GPa_1_2""","","","unresolved"
"""hTERT_2.3GPa_1_3""","","","unresolved"
"""WT_0.5kPa_1_1""","","","unresolved"
"""WT_0.5kPa_1_2""","","","unresolved"
"""WT_0.5kPa_1_3""","","","unresolved"
"""hTERT_0.5kPa_1_1""","","","unresolved"
"""hTERT_0.5kPa_1_2""","","","unresolved"
"""hTERT_0.5kPa_1_3""","","","unresolved"
"""WT_2kPa_1_1""","","","unresolved"
"""WT_2kPa_1_2""","","","unresolved"
"""WT_2kPa_1_3""","","","unresolved"
"""hTERT_2kPa_1_1""","","","unresolved"
"""hTERT_2kPa_1_2""","","","unresolved"
"""hTERT_2kPa_1_3""","","","unresolved"
"""WT_16kPa_1_1""","","","unresolved"
"""WT_16kPa_1_2""","","","unresolved"
"""WT_16kPa_1_3""","","","unresolved"
"""hTERT_16kPa_1_1""","","","unresolved"
"""hTERT_16kPa_1_2""","","","unresolved"
"""hTERT_16kPa_1_3""","","","unresolved"
"""WT_32kPa_1_1""","","","unresolved"
"""WT_32kPa_1_2""","","","unresolved"
"""WT_32kPa_1_3""","","","unresolved"
"""hTERT_32kPa_1_1""","","","unresolved"
"""hTERT_32kPa_1_2""","","","unresolved"
"""hTERT_32kPa_1_3""","","","unresolved"
"""WT_2.3GPa_2_1""","","","unresolved"
"""WT_2.3GPa_2_2""","","","unresolved"
"""hTERT_2.3GPa_2_1""","","","unresolved"
"""hTERT_2.3GPa_2_2""","","","unresolved"
"""hTERT_2.3GPa_2_3""","","","unresolved"
"""WT_0.5kPa_2_1""","","","unresolved"
"""WT_0.5kPa_2_2""","","","unresolved"
"""WT_0.5kPa_2_3""","","","unresolved"
"""hTERT_0.5kPa_2_1""","","","unresolved"
"""hTERT_0.5kPa_2_2""","","","unresolved"
"""hTERT_0.5kPa_2_3""","","","unresolved"
"""WT_2kPa_2_1""","","","unresolved"
"""WT_2kPa_2_2""","","","unresolved"
"""WT_2kPa_2_3""","","","unresolved"
"""hTERT_2kPa_2_1""","","","unresolved"
"""hTERT_2kPa_2_2""","","","unresolved"
"""hTERT_2kPa_2_3""","","","unresolved"
"""WT_16kPa_2_1""","","","unresolved"
"""WT_16kPa_2_2""","","","unresolved"
"""WT_16kPa_2_3""","","","unresolved"
"""hTERT_16kPa_2_1""","","","unresolved"
"""hTERT_16kPa_2_2""","","","unresolved"
"""hTERT_16kPa_2_3""","","","unresolved"
"""WT_32kPa_2_1""","","","unresolved"
"""WT_32kPa_2_2""","","","unresolved"
"""WT_32kPa_2_3""","","","unresolved"
"""hTERT_32kPa_2_1""","","","unresolved"
"""hTERT_32kPa_2_2""","","","unresolved"
"""hTERT_32kPa_2_3""","","","unresolved"
"""WT_2.3GPa_3_1""","","","unresolved"
"""WT_2.3GPa_3_2""","","","unresolved"
"""WT_2.3GPa_3_3""","","","unresolved"
"""hTERT_2.3GPa_3_1""","","","unresolved"
"""hTERT_2.3GPa_3_2""","","","unresolved"
"""hTERT_2.3GPa_3_3""","","","unresolved"
"""WT_0.5kPa_3_1""","","","unresolved"
"""WT_0.5kPa_3_2""","","","unresolved"
"""WT_0.5kPa_3_3""","","","unresolved"
"""hTERT_0.5kPa_3_1""","","","unresolved"
"""hTERT_0.5kPa_3_2""","","","unresolved"
"""hTERT_0.5kPa_3_3""","","","unresolved"
"""WT_2kPa_3_1""","","","unresolved"
"""WT_2kPa_3_2""","","","unresolved"
"""WT_2kPa_3_3""","","","unresolved"
"""hTERT_2kPa_3_1""","","","unresolved"
"""hTERT_2kPa_3_2""","","","unresolved"
"""hTERT_2kPa_3_3""","","","unresolved"
"""WT_16kPa_3_1""","","","unresolved"
"""WT_16kPa_3_2""","","","unresolved"
"""WT_16kPa_3_3""","","","unresolved"
"""hTERT_16kPa_3_1""","","","unresolved"
"""hTERT_16kPa_3_2""","","","unresolved"
"""hTERT_16kPa_3_3""","","","unresolved"
"""WT_32kPa_3_1""","","","unresolved"
"""WT_32kPa_3_2""","","","unresolved"
"""WT_32kPa_3_3""","","","unresolved"
"""hTERT_32kPa_3_1""","","","unresolved"
"""hTERT_32kPa_3_2""","","","unresolved"
"""hTERT_32kPa_3_3""","","","unresolved"
"""WT_2.3GPa_4_1""","","","unresolved"
"""WT_2.3GPa_4_2""","","","unresolved"
"""WT_2.3GPa_4_3""","","","unresolved"
"""hTERT_2.3GPa_4_1""","","","unresolved"
"""hTERT_2.3GPa_4_2""","","","unresolved"
"""hTERT_2.3GPa_4_3""","","","unresolved"
"""WT_0.5kPa_4_1""","","","unresolved"
"""WT_0.5kPa_4_2""","","","unresolved"
"""WT_0.5kPa_4_3""","","","unresolved"
"""hTERT_0.5kPa_4_1""","","","unresolved"
"""hTERT_0.5kPa_4_2""","","","unresolved"
"""hTERT_0.5kPa_4_3""","","","unresolved"
"""WT_2kPa_4_1""","","","unresolved"
"""WT_2kPa_4_2""","","","unresolved"
"""WT_2kPa_4_3""","","","unresolved"
"""hTERT_2kPa_4_1""","","","unresolved"
"""hTERT_2kPa_4_2""","","","unresolved"
"""hTERT_2kPa_4_3""","","","unresolved"
"""WT_16kPa_4_1""","","","unresolved"
"""WT_16kPa_4_2""","","","unresolved"
"""WT_16kPa_4_3""","","","unresolved"
"""hTERT_16kPa_4_1""","","","unresolved"
"""hTERT_16kPa_4_2""","","","unresolved"
"""hTERT_16kPa_4_3""","","","unresolved"
"""WT_32kPa_4_1""","","","unresolved"
"""WT_32kPa_4_2""","","","unresolved"
"""WT_32kPa_4_3""","","","unresolved"
"""hTERT_32kPa_4_1""","","","unresolved"
"""hTERT_32kPa_4_2""","","","unresolved"
"""hTERT_32kPa_4_3""","","","unresolved"
"""WT_2.3GPa_5_1""","","","unresolved"
"""WT_2.3GPa_5_2""","","","unresolved"
"""WT_2.3GPa_5_3""","","","unresolved"
"""hTERT_2.3GPa_5_1""","","","unresolved"
"""hTERT_2.3GPa_5_2""","","","unresolved"
"""hTERT_2.3GPa_5_3""","","","unresolved"
"""WT_2.3GPa_6_1""","","","unresolved"
"""WT_2.3GPa_6_2""","","","unresolved"
"""WT_2.3GPa_6_3""","","","unresolved"
"""WT_2.3GPa_6_4""","","","unresolved"
"""WT_2.3GPa_6_5""","","","unresolved"
"""WT_2.3GPa_6_6""","","","unresolved"
"""hTERT_2.3GPa_6_1""","","","unresolved"
"""hTERT_2.3GPa_6_2""","","","unresolved"
"""hTERT_2.3GPa_6_3""","","","unresolved"
"""hTERT_0.5kPa_6_1""","","","unresolved"
"""hTERT_0.5kPa_6_2""","","","unresolved"
"""hTERT_0.5kPa_6_3""","","","unresolved"
"""hTERT_2kPa_6_1""","","","unresolved"
"""hTERT_2kPa_6_2""","","","unresolved"
"""hTERT_2kPa_6_3""","","","unresolved"
"""hTERT_16kPa_6_1""","","","unresolved"
"""hTERT_16kPa_6_2""","","","unresolved"
"""hTERT_16kPa_6_3""","","","unresolved"
"""hTERT_32kPa_6_1""","","","unresolved"
"""hTERT_32kPa_6_2""","","","unresolved"
"""hTERT_32kPa_6_3""","","","unresolved"
"""WT_32kPa_7_1""","","","unresolved"
"""WT_32kPa_7_2""","","","unresolved"
"""WT_32kPa_7_3""","","","unresolved"
"""WT_2.3GPa_7_1""","","","unresolved"
"""WT_2.3GPa_7_2""","","","unresolved"
"""hTERT_2.3GPa_8_1""","","","unresolved"
"""hTERT_2.3GPa_8_2""","","","unresolved"
"""hTERT_2.3GPa_8_3""","","","unresolved"
"""WT_2.3GPa_8_1""","","","unresolved"
"""WT_2.3GPa_8_2""","","","unresolved"
"""WT_0.5kPa_8_1""","","","unresolved"
"""WT_0.5kPa_8_2""","","","unresolved"
"""WT_0.5kPa_8_3""","","","unresolved"
"""hTERT_0.5kPa_8_1""","","","unresolved"
"""hTERT_0.5kPa_8_2""","","","unresolved"
"""hTERT_0.5kPa_8_3""","","","unresolved"
"""WT_2kPa_8_1""","","","unresolved"
"""WT_2kPa_8_2""","","","unresolved"
"""WT_2kPa_8_3""","","","unresolved"
"""hTERT_2kPa_8_1""","","","unresolved"
"""hTERT_2kPa_8_2""","","","unresolved"
"""hTERT_2kPa_8_3""","","","unresolved"
"""WT_16kPa_8_1""","","","unresolved"
"""WT_16kPa_8_2""","","","unresolved"
"""hTERT_16kPa_8_1""","","","unresolved"
"""hTERT_16kPa_8_2""","","","unresolved"
"""hTERT_16kPa_8_3""","","","unresolved"
"""WT_32kPa_8_1""","","","unresolved"
"""WT_32kPa_8_2""","","","unresolved"
"""hTERT_32kPa_8_1""","","","unresolved"
"""hTERT_32kPa_8_2""","","","unresolved"
"""hTERT_32kPa_8_3""","","","unresolved"
