"gse_accession","gsm_accession","title","source_name","analysis_role","eligible_for_stiffness_cross_check","cell_model_condition","stiffness_value_original","stiffness_unit","stiffness_value_kPa","log10_stiffness_kPa","timepoint","technical_or_biological_replicate_label","proliferation_state","biological_unit","timepoint_factor"
"GSE276045","GSM8489997","WT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",2.3,"GPa",2300000,6.36172783601759,1,1,"not_measured_or_not_resolved","WT_timepoint_1_replicate_1","1"
"GSE276045","GSM8489998","WT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",2.3,"GPa",2300000,6.36172783601759,1,2,"not_measured_or_not_resolved","WT_timepoint_1_replicate_2","1"
"GSE276045","GSM8489999","WT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",2.3,"GPa",2300000,6.36172783601759,1,3,"not_measured_or_not_resolved","WT_timepoint_1_replicate_3","1"
"GSE276045","GSM8490000","hTERT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",2.3,"GPa",2300000,6.36172783601759,1,1,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_1","1"
"GSE276045","GSM8490001","hTERT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",2.3,"GPa",2300000,6.36172783601759,1,2,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_2","1"
"GSE276045","GSM8490002","hTERT, 2.3GPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",2.3,"GPa",2300000,6.36172783601759,1,3,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_3","1"
"GSE276045","GSM8490003","WT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",0.5,"kPa",0.5,-0.301029995663981,1,1,"not_measured_or_not_resolved","WT_timepoint_1_replicate_1","1"
"GSE276045","GSM8490004","WT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",0.5,"kPa",0.5,-0.301029995663981,1,2,"not_measured_or_not_resolved","WT_timepoint_1_replicate_2","1"
"GSE276045","GSM8490005","WT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",0.5,"kPa",0.5,-0.301029995663981,1,3,"not_measured_or_not_resolved","WT_timepoint_1_replicate_3","1"
"GSE276045","GSM8490006","hTERT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",0.5,"kPa",0.5,-0.301029995663981,1,1,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_1","1"
"GSE276045","GSM8490007","hTERT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",0.5,"kPa",0.5,-0.301029995663981,1,2,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_2","1"
"GSE276045","GSM8490008","hTERT, 0.5kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",0.5,"kPa",0.5,-0.301029995663981,1,3,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_3","1"
"GSE276045","GSM8490009","WT, 2kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",2,"kPa",2,0.301029995663981,1,1,"not_measured_or_not_resolved","WT_timepoint_1_replicate_1","1"
"GSE276045","GSM8490010","WT, 2kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",2,"kPa",2,0.301029995663981,1,2,"not_measured_or_not_resolved","WT_timepoint_1_replicate_2","1"
"GSE276045","GSM8490011","WT, 2kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",2,"kPa",2,0.301029995663981,1,3,"not_measured_or_not_resolved","WT_timepoint_1_replicate_3","1"
"GSE276045","GSM8490012","hTERT, 2kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",2,"kPa",2,0.301029995663981,1,1,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_1","1"
"GSE276045","GSM8490013","hTERT, 2kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",2,"kPa",2,0.301029995663981,1,2,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_2","1"
"GSE276045","GSM8490014","hTERT, 2kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",2,"kPa",2,0.301029995663981,1,3,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_3","1"
"GSE276045","GSM8490015","WT, 16kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",16,"kPa",16,1.20411998265592,1,1,"not_measured_or_not_resolved","WT_timepoint_1_replicate_1","1"
"GSE276045","GSM8490016","WT, 16kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",16,"kPa",16,1.20411998265592,1,2,"not_measured_or_not_resolved","WT_timepoint_1_replicate_2","1"
"GSE276045","GSM8490017","WT, 16kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",16,"kPa",16,1.20411998265592,1,3,"not_measured_or_not_resolved","WT_timepoint_1_replicate_3","1"
"GSE276045","GSM8490018","hTERT, 16kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",16,"kPa",16,1.20411998265592,1,1,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_1","1"
"GSE276045","GSM8490019","hTERT, 16kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",16,"kPa",16,1.20411998265592,1,2,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_2","1"
"GSE276045","GSM8490020","hTERT, 16kPa, timepoint 1, RNA-Seq 1, replicate 3","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"hTERT",16,"kPa",16,1.20411998265592,1,3,"not_measured_or_not_resolved","hTERT_timepoint_1_replicate_3","1"
"GSE276045","GSM8490021","WT, 32kPa, timepoint 1, RNA-Seq 1, replicate 1","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",32,"kPa",32,1.50514997831991,1,1,"not_measured_or_not_resolved","WT_timepoint_1_replicate_1","1"
"GSE276045","GSM8490022","WT, 32kPa, timepoint 1, RNA-Seq 1, replicate 2","WI-38 cell line","S3_WI38_stiffness_x_cell_model_cross_check",TRUE,"WT",32,"kPa",32,1.50514997831991,1,2,"not_measured_or_not_resolved","WT_timepoint_1_replicate_2","1"
