"source","contrast","module","genes_total","genes_present_raw","genes_present_after_filter","coverage_fraction_raw","role","direction","camera_p_value","camera_fdr","camera_status"
"GSE276045","stiffness_slope_WT","cell_cycle",18,18,18,1,"competitor","Up",5.48073165269698e-09,4.93265848742728e-08,"estimated"
"GSE276045","stiffness_slope_WT","actomyosin_rho",20,20,20,1,"primary","Up",0.000220545569186716,0.000992455061340222,"estimated"
"GSE276045","stiffness_slope_WT","ecm_remodeling",23,23,23,1,"competitor","Up",0.0409697769204419,0.116629818691701,"estimated"
"GSE276045","stiffness_slope_WT","hippo_yap_taz",19,19,19,1,"primary","Up",0.0641297342118264,0.116629818691701,"estimated"
"GSE276045","stiffness_slope_WT","tgf_fibrosis",20,20,20,1,"competitor","Up",0.0733308408454737,0.116629818691701,"estimated"
"GSE276045","stiffness_slope_WT","hypoxia",18,18,16,1,"competitor","Down",0.0777532124611338,0.116629818691701,"estimated"
"GSE276045","stiffness_slope_WT","mechanosensor_channels",20,20,17,1,"primary","Down",0.523039920624652,0.672479897945981,"estimated"
"GSE276045","stiffness_slope_WT","inflammation_ap1_nfkb",21,21,19,1,"competitor","Up",0.725028255963356,0.815656787958776,"estimated"
"GSE276045","stiffness_slope_WT","integrin_focal_adhesion",23,23,23,1,"primary","Up",0.98151584470117,0.98151584470117,"estimated"
"GSE276045","stiffness_slope_hTERT","cell_cycle",18,18,18,1,"competitor","Up",5.54624583075988e-05,0.000499162124768389,"estimated"
"GSE276045","stiffness_slope_hTERT","actomyosin_rho",20,20,20,1,"primary","Up",0.000167849616781802,0.000689184725650219,"estimated"
"GSE276045","stiffness_slope_hTERT","ecm_remodeling",23,23,23,1,"competitor","Up",0.000229728241883406,0.000689184725650219,"estimated"
"GSE276045","stiffness_slope_hTERT","tgf_fibrosis",20,20,20,1,"competitor","Up",0.00224623173713284,0.00505402140854889,"estimated"
"GSE276045","stiffness_slope_hTERT","hypoxia",18,18,16,1,"competitor","Down",0.0126810356739688,0.0228258642131439,"estimated"
"GSE276045","stiffness_slope_hTERT","hippo_yap_taz",19,19,19,1,"primary","Up",0.095475092378191,0.143212638567287,"estimated"
"GSE276045","stiffness_slope_hTERT","inflammation_ap1_nfkb",21,21,19,1,"competitor","Up",0.352718179046533,0.453494801631257,"estimated"
"GSE276045","stiffness_slope_hTERT","integrin_focal_adhesion",23,23,23,1,"primary","Up",0.62511383330761,0.671052342184803,"estimated"
"GSE276045","stiffness_slope_hTERT","mechanosensor_channels",20,20,17,1,"primary","Up",0.671052342184803,0.671052342184803,"estimated"
"GSE276045","stiffness_x_cell_model","cell_cycle",18,18,18,1,"competitor","Down",0.000121401792200173,0.00109261612980156,"estimated"
"GSE276045","stiffness_x_cell_model","ecm_remodeling",23,23,23,1,"competitor","Up",0.0103873805955675,0.0467432126800536,"estimated"
"GSE276045","stiffness_x_cell_model","tgf_fibrosis",20,20,20,1,"competitor","Up",0.0405134023567051,0.121540207070115,"estimated"
"GSE276045","stiffness_x_cell_model","mechanosensor_channels",20,20,17,1,"primary","Up",0.117429146822086,0.264215580349692,"estimated"
"GSE276045","stiffness_x_cell_model","inflammation_ap1_nfkb",21,21,19,1,"competitor","Up",0.261088922394399,0.469960060309918,"estimated"
"GSE276045","stiffness_x_cell_model","hypoxia",18,18,16,1,"competitor","Down",0.316868732631234,0.475303098946851,"estimated"
"GSE276045","stiffness_x_cell_model","integrin_focal_adhesion",23,23,23,1,"primary","Up",0.583892798348689,0.700984559723824,"estimated"
"GSE276045","stiffness_x_cell_model","hippo_yap_taz",19,19,19,1,"primary","Down",0.623097386421177,0.700984559723824,"estimated"
"GSE276045","stiffness_x_cell_model","actomyosin_rho",20,20,20,1,"primary","Down",0.803133870876291,0.803133870876291,"estimated"
